fileid,date_cases_IMPUTED,cases_extracted,country_extracted,date_extracted,deaths_extracted,virus_extracted
01-february-2015-avian-influenza-en,,2.0,Canada,2015/1/27,0.0,Avian influenza
01-july-2016-ah7n9-china-en,,5.0,China,2016/6/15,1.0,Avian influenza
01-june-2015-mers-korea-en,,2.0,North Korea,2015/5/31,0.0,MERSCoV
01-june-2015-mers-saudi-arabia-en,,2.0,Saudi Arabia,2015/5/24,1.0,MERSCoV
01-march-2018-lassa-fever-nigeria-en,,1081.0,Federal Republic of Nigeria,2018/2/25,90.0,Lassa Fever
01-may-2017-ah7n9-china-en,,28.0,China,2017/4/21,8.0,Avian influenza
01-may-2018-dengue-reunion-en,,1816.0,Reunion (France),2018/3/16,0.0,Dengue Fever
01-may-2019-chikungunya-congo-en,,6149.0,Congo,2019/2/9,0.0,Chikungunya virus disease
01-november-2018-ebola-drc-en,,279.0,Congo,2018/10/30,179.0,Ebola
01-november-2018-mers-saudi-arabia-en,,8.0,Saudi Arabia,2018/9/17,3.0,MERSCoV
01-october-2014-ebola-en,,1.0,United States,2014/9/30,0.0,Ebola
01-october-2015-mers-jordan-en,,4.0,Jordan,2015/9/21,1.0,MERSCoV
01-september-2015-mers-jordan-en,,4.0,Jordan,2015/8/26,1.0,MERSCoV
01-september-2015-polio-en,,2.0,Ukraine,2015/6/30,0.0,Coronavirus
02-July-2018-polio-png-en,,1.0,Papua New Guinea,2018/5/21,0.0,Poliomyelitis
02-august-2016-rift-valley-fever-china-en,,1.0,China,2016/7/23,0.0,Rift Valley Fever
02-june-2016-yellow-fever-drc-en,,52.0,Congo,2016/3/22,63.0,Yellow Fever
02-march-2018-cholera-drc-en,,1065.0,Congo,2017/11/25,43.0,Cholera
02-may-2016-yellow-fever-drc-en,,453.0,Congo,2016/3/22,45.0,Yellow Fever
02-may-2016-yellow-fever-uganda-en,,30.0,United Republic of Tanzania,2016/4/8,7.0,Yellow Fever
02-may-2018-listeriosis-south-africa-en,,1024.0,South Africa (KwaZulu Natal),2017/1/1,200.0,Listeriosis
02-november-2017-plague-madagascar-en,,1801.0,Madagascar,2017/8/1,127.0,Yersinia Pestis
02-october-2014-mers-austria-en,,1.0,Austria,2014/9/30,0.0,MERSCoV
02-october-2014-mers-saudi-arabia-en,,15.0,Saudi Arabia,2014/9/28,4.0,MERSCoV
02-october-2017-plague-madagascar-en,,73.0,Madagascar,2017/8/23,17.0,Yersinia Pestis
02-september-2015-mers-saudi-arabia-en,,15.0,Saudi Arabia,2015/8/24,2.0,MERSCoV
03-april-2017-ah7n9-china-en,,18.0,China,2017/3/24,2.0,Avian influenza
03-april-2017-mers-saudi-arabia-en,,18.0,Saudi Arabia,2017/2/23,4.0,MERSCoV
03-december-2015-zika-mexico-en,,3.0,Mexico,2015/11/26,0.0,Zika virus
03-december-2015-zika-paraguay-en,,6.0,Ecuador,2015/11/27,0.0,Zika virus
03-december-2015-zika-venezuela-en,,7.0,Ecuador,2015/11/27,,Zika virus
03-february-2015-mers-en,,9.0,Saudi Arabia,2015/1/14,4.0,MERSCoV
03-january-2017-ah7n9-china-en,,1.0,Hong Kong SAR China,2016/12/30,0.0,Avian influenza
03-july-2015-mers-korea-en,,184.0,North Korea,2015/7/1,33.0,MERSCoV
03-july-2015-mers-saudi-arabia-en,,6.0,Saudi Arabia,2015/6/19,1.0,MERSCoV
03-june-2016-oropouche-peru-en,,57.0,Ecuador,2016/5/2,0.0,Oropouche virus disease
03-november-2014-mers-en,,12.0,Saudi Arabia,2014/10/26,5.0,MERSCoV
03-october-2018-mers-saudi-arabia-en,,32.0,Saudi Arabia,2018/6/1,10.0,MERSCoV
04-January-2019-hantavirus-panama-en,,103.0,Republic of Panama,2018/12/22,4.0,Circovirus
04-april-2017-mers-qatar-en,,1.0,Kuwait,2017/3/21,0.0,MERSCoV
04-april-2017-yellow-fever-brazil-en,,,Brazil,2017/4/3,,Yellow Fever
04-august-2017-dengue-cote-d-ivoire-en,,623.0,Cameroon,2017/5/6,2.0,Dengue Fever
04-july-2017-mers-lebanon-en,,1.0,Egypt,2017/6/19,0.0,MERSCoV
04-june-2015-mers-korea-en,,15.0,North Korea,2015/6/1,1.0,MERSCoV
04-june-2015-mers-oman-en,,1.0,Sultanate of Oman,2015/5/29,0.0,MERSCoV
04-june-2015-mers-saudi-arabia-en,,9.0,Saudi Arabia,2015/5/26,4.0,MERSCoV
04-march-2019-mers-oman-en,,13.0,Sultanate of Oman,2019/2/12,7.0,MERSCoV
04-october-2018-ebola-drc-en,,162.0,Congo,2018/10/2,106.0,Ebola
05-april-2017-ah7n9-china-en,,17.0,China,2017/3/31,3.0,Avian influenza
05-december-2015-zika-panama-en,,3.0,Republic of Panama,2015/12/2,0.0,Zika virus
05-january-2015-mers-jordan-en,,1.0,Jordan,2014/12/25,3.0,MERSCoV
05-june-2015-mers-korea-en,,6.0,North Korea,2015/6/4,1.0,MERSCoV
