DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2015,39640,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2016,39970,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2017,40620,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2018,41430,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2019,41970,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2020,39140,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2021,40860,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2022,42540,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2023,41770,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2024,41050,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2015,36860,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2016,37110,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2017,37510,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2018,38040,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2019,38760,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2020,36740,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2021,38860,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2022,40180,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2023,40340,p,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2024,40500,p,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2015,6560,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2016,6840,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2017,7130,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2018,7410,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2019,7800,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2020,7620,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2021,8270,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2022,8660,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2023,8850,,
ESTAT:TIPSNA40(1.0),20/03/25 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2024,9110,p,
