DATAFLOW,LAST UPDATE,freq,indic,s_adj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-03,105.8,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-04,108.3,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-05,109.3,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-06,105.2,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-07,108.6,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-08,112.2,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-09,110.7,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-10,111.0,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-11,113.8,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2024-12,110.4,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2025-01,109.2,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Albania,2025-02,102.9,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Austria,2024-03,87.8,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Austria,2024-04,91.4,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Austria,2024-05,91.6,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Austria,2024-06,87.3,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Austria,2024-07,87.4,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Austria,2024-08,87.2,,
ESTAT:TEIBS010(1.0),27/02/25 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Austria,2024-09,87.0,,
