DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2014,74.2,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2015,74.3,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2016,74.8,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2017,75.4,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2018,76.2,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2019,76.8,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2020,74.8,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2021,75.6,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2022,77.3,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2023,77.2,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Austria,2024,77.4,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2014,67.3,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2015,67.2,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2016,67.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2017,68.5,b,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2018,69.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2019,70.5,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2020,69.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2021,70.6,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2022,71.9,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2023,72.1,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Belgium,2024,72.3,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2014,64.4,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2015,66.5,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2016,67.0,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2017,70.6,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2018,71.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2019,74.3,b,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2020,72.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2021,73.3,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2022,75.9,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2023,76.2,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Bulgaria,2024,76.8,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2014,67.6,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2015,67.9,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2016,68.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2017,70.8,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2018,73.9,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2019,75.8,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2020,75.2,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2021,76.3,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2022,78.6,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2023,79.5,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Cyprus,2024,79.8,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2014,73.5,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2015,74.8,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2016,76.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2017,78.5,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2018,79.9,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2019,80.3,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2020,79.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2021,80.0,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2022,81.3,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2023,81.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Czechia,2024,82.3,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Germany,2014,76.7,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Germany,2015,76.9,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Germany,2016,77.6,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Germany,2017,78.2,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Germany,2018,78.9,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Germany,2019,79.6,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Germany,2020,78.2,b,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Germany,2021,79.4,,
ESTAT:TIPSLM100(1.0),13/03/25 23:00:00,Annual,Total employment (resident population concept - LFS),Total,From 20 to 64 years,Percentage of total population,Germany,2022,80.6,,
